# codex 符号 tips（AI翻译）
# 格式: 符号：char<TAB>中文
符号：⁠	无断行连接符
符号：ш	西里尔字母 sha
符号：Ш	西里尔字母 Sha
符号：א	希伯来字母阿列夫
符号：ב	希伯来字母贝斯
符号：ג	希伯来字母吉梅尔
符号：ד	希伯来字母达莱特
符号：𝔸	双线大写 A
符号：𝔹	双线大写 B
符号：ℂ	双线大写 C
符号：𝔻	双线大写 D
符号：𝔼	双线大写 E
符号：𝔽	双线大写 F
符号：𝔾	双线大写 G
符号：ℍ	双线大写 H
符号：𝕀	双线大写 I
符号：𝕁	双线大写 J
符号：𝕂	双线大写 K
符号：𝕃	双线大写 L
符号：𝕄	双线大写 M
符号：ℕ	双线大写 N
符号：𝕆	双线大写 O
符号：ℙ	双线大写 P
符号：ℚ	双线大写 Q
符号：ℝ	双线大写 R
符号：𝕊	双线大写 S
符号：𝕋	双线大写 T
符号：𝕌	双线大写 U
符号：𝕍	双线大写 V
符号：𝕎	双线大写 W
符号：𝕏	双线大写 X
符号：𝕐	双线大写 Y
符号：ℤ	双线大写 Z
符号：Å	埃斯特朗单位
符号：ℓ	手写体小写 L
符号：℘	手写体小写 P
符号：ħ	普朗克常数符号
符号：ℜ	实部符号
符号：ℑ	虚部符号
符号：ı	无点小写 i
符号：ȷ	无点小写 j
符号：⚅	六点骰子
符号：⚄	五点骰子
符号：⚃	四点骰子
符号：⚂	三点骰子
符号：⚁	二点骰子
符号：⚀	一点骰子
符号：⧮	方形空心误差条
符号：⧯	方形实心误差条
符号：⧰	菱形空心误差条
符号：⧱	菱形实心误差条
符号：⧲	圆形空心误差条
符号：⧳	圆形实心误差条
符号：␣	空格键符号
符号：⚢	双线女性符号
符号：⚤	男女组合符号
符号：⚥	双性符号
符号：⚣	双线男性符号
符号：⚦	带杠男性符号
符号：⚨	带上杠男性符号
符号：⚩	带右杠男性符号
符号：⚲	中性符号
符号：⚧︎	跨性别符号
符号：␀	空字符
符号：␁	标题开始
符号：␂	正文开始
符号：␃	正文结束
符号：␄	传输结束
符号：␅	询问字符
符号：␆	确认字符
符号：␇	响铃字符
符号：␈	退格符
符号：␉	水平制表符
符号：␊	换行符
符号：␋	垂直制表符
符号：␌	换页符
符号：␍	回车符
符号：␎	移出符
符号：␏	移入符
符号：␐	数据链路转义符
符号：␑	设备控制一
符号：␒	设备控制二
符号：␓	设备控制三
符号：␔	设备控制四
符号：␕	否定确认符
符号：␖	同步空闲符
符号：␗	传输块结束符
符号：␘	取消符
符号：␙	介质结束符
符号：␚	替换符
符号：␛	转义符
符号：␜	文件分隔符
符号：␝	组分隔符
符号：␞	记录分隔符
符号：␟	单元分隔符
符号：␠	空白字符
符号：␡	删除符
符号：␤	新行符
